,ltable_Name,ltable_Phone,ltable_Zipcode,ltable_State,ltable_City,ltable_Address,ltable_Delivery,ltable_Takeout,ltable_Outdoor_seating,rtable_Name,rtable_Phone,rtable_Zipcode,rtable_State,rtable_City,rtable_Address,rtable_Delivery,rtable_Takeout,rtable_Outdoor_seating,Label,predicted,restaurant_name,phone,zipcode,state,city,address,delivery,takeout,outdoor_seating
483,Saigon Sandwich,(415) 474-5698,94102,CA,San Francisco,560 Larkin St,0,1,0,Saigon Sandwich,(415) 474-5698,94102,CA,San Francisco,560 Larkin Street,0,1,0,1,1,,,,,,,,,
996,Giano Restaurant,(212) 673-7200,10009,NY,New York,126 E 7th St,1,1,1,Giano,(212) 673-7200,10009,NY,New York,126 East 7th Street,0,1,1,1,1,,,,,,,,,
487,Hugo’s Frog Bar & Fish House,(312) 640-0999,60611,IL,Chicago,1024 N Rush St,0,1,1,Hugo's Frog Bar & Fish House,(312) 640-0999,60611,IL,Chicago,1024 N Rush Street,0,1,1,1,1,,,,,,,,,
1001,Artopolis,(312) 559-9000,60661,IL,Chicago,306 S Halsted St,0,1,0,Artopolis,(312) 559-9000,60661,IL,Chicago,306 S Halsted Street,0,1,0,1,1,,,,,,,,,
490,El Farolito,(415) 824-7877,94110,CA,San Francisco,2779 Mission St,0,1,0,El Farolito,(415) 824-7877,94110,CA,San Francisco,2779 Mission District Street,0,1,0,1,1,,,,,,,,,
491,El Farolito,(415) 641-0758,94110,CA,San Francisco,2950 24th St,0,1,0,El Farolito,(415) 824-7877,94110,CA,San Francisco,2779 Mission District Street,0,1,0,0,1,,,,,,,,,
1004,Mike’s Noodle House,(206) 389-7099,98104,WA,Seattle,418 Maynard Ave S,0,1,0,Mike's Noodle House,(206) 389-7099,98104,WA,Seattle,418 Maynard Avenue S,0,1,0,1,1,,,,,,,,,
494,Piece Brewery and Pizzeria,(773) 772-4422,60622,IL,Chicago,1927 W North Ave,1,1,0,Piece,(773) 772-4422,60622,IL,Chicago,1927 W North Avenue,1,1,0,1,1,,,,,,,,,
499,Duke’s Chowder House - Lake Union,(206) 382-9963,98109,WA,Seattle,901 Fairview Ave N,0,1,1,Duke's Chowder House,(206) 382-9963,98109,WA,Seattle,901 Fairview Avenue North,0,1,1,1,1,,,,,,,,,
501,Monsoon Seattle,(206) 325-2111,98112,WA,Seattle,615 19th Ave E,0,1,1,Monsoon,(206) 325-2111,98112,WA,Seattle,615 19th Avenue E,1,1,1,1,1,,,,,,,,,
1014,Keens Steakhouse,(212) 947-3636,10018,NY,New York,72 W 36th St,0,1,0,Keens Steakhouse,(212) 947-3636,10018,NY,New York,72 W 36th Street,0,1,0,1,1,,,,,,,,,
1015,Bandera Restaurant,(312) 644-3524,60611,IL,Chicago,535 N Michigan Ave,0,1,0,Bandera,(312) 644-3524,60611,IL,Chicago,535 N Michigan Avenue,0,1,0,1,1,,,,,,,,,
504,Bobtail Ice Cream Company,(773) 880-7372,60657,IL,Chicago,2951 N Broadway St,0,1,1,Bobtail Ice Cream Company,(773) 880-7372,60657,IL,Chicago,2951 North Broadway Street,0,1,1,1,1,,,,,,,,,
506,Malatesta Trattoria,(212) 741-1207,10014,NY,New York,649 Washington St,0,1,1,Malatesta Trattoria,(212) 741-1207,10014,NY,New York,649 Washington Street,0,0,1,1,1,,,,,,,,,
